id,body,type,posx,posy,mass,size,flux,observation
1,1,Unit,859.6600912009721,326.7381626210707,2,14,255,0
2,2,Unit,1102.1425149253291,560.2113769322717,2,14,255,0
3,3,Unit,594.952769956522,191.11305415537126,2,14,255,0
4,4,Unit,795.4455443400323,761.1893445760958,2,14,255,0
5,5,Unit,691.1536676371412,590.526404485357,2,14,255,0
6,6,Unit,911.6215365754778,473.58013225760254,2,14,255,0
7,7,Unit,812.2592994450551,516.3270119062284,2,14,255,0
8,8,Unit,749.2708482276861,733.1988117746461,2,14,255,0
9,9,Unit,801.8439239826805,607.306578155427,2,14,255,0
10,10,Unit,918.3010674259097,345.3745863647565,2,14,255,0
11,11,Unit,1035.574391537887,931.2975763317348,2,14,255,0
12,12,Unit,824.0835057248472,655.2694872907824,2,14,255,0
13,13,Unit,1025.55723555584,968.1178946116421,2,14,255,0
14,14,Unit,678.5930628504369,897.941348464942,2,14,255,0
15,15,Unit,890.4580483188112,685.7807143018496,2,14,255,0
16,16,Unit,857.6682262393327,1048.5963807917656,2,14,255,0
17,17,Unit,795.8610935739259,881.4778487403808,2,14,255,0
18,18,Unit,892.3468376551508,440.7765750043067,2,14,255,0
19,19,Unit,521.1240451405179,844.9767545554744,2,14,255,0
20,20,Unit,517.0237313933678,521.2101683810182,2,14,255,0
21,21,Unit,1141.4034697413756,845.2206762969166,2,14,255,0
22,22,Unit,711.05770487984,390.86385637384376,2,14,255,0
23,23,Unit,1066.2029739276607,757.9444258126233,2,14,255,0
24,24,Unit,701.4863600635159,729.8017115309221,2,14,255,0
25,25,Unit,423.3369902623477,677.4101891987028,2,14,255,0
26,26,Unit,932.2934347235853,693.7718028442406,2,14,255,0
27,27,Unit,1045.2898717253643,253.8949445983582,2,14,255,0
28,28,Unit,880.4854749657123,911.4590935707486,2,14,255,0
29,29,Unit,937.7746039381067,252.6056228948295,2,14,255,0
30,30,Unit,864.1037421651969,598.1041311651866,2,14,255,0
31,31,Unit,1029.7681139777887,578.402362645209,2,14,255,0
32,32,Unit,661.0744413878763,691.6749957380589,2,14,255,0
33,33,Unit,1019.4110051591412,404.3623165405015,2,14,255,0
34,34,Unit,1048.7935699658829,489.4446929532275,2,14,255,0
35,35,Unit,861.1098760591834,505.3649976275026,2,14,255,0
36,36,Unit,606.3638134209659,338.5334252615539,2,14,255,0
37,37,Unit,647.4980674893409,777.9819471108801,2,14,255,0
38,38,Unit,719.1974510999213,622.8064183157593,2,14,255,0
39,39,Unit,946.3642447741902,653.6855918632236,2,14,255,0
40,40,Unit,784.4065889553648,591.0875333898317,2,14,255,0
41,41,Unit,353.5397195714675,615.2741067357055,2,14,255,0
42,42,Unit,811.1031228555928,345.00981515135396,2,14,255,0
43,44,Unit,791.7938107902917,565.4384605799709,2,14,255,0
44,45,Unit,527.4142010791775,549.5868545562512,1,15,255,0
45,46,Unit,489.37937276700524,680.2031607966964,2,14,255,0
46,47,Unit,683.5796550994223,491.3518137342227,2,14,255,0
47,48,Unit,876.8416813625098,959.5272231059981,2,14,255,0
48,49,Unit,1264.4110014798107,702.6630960093852,2,14,255,0
49,50,Unit,686.8302388008747,688.011933801288,2,14,255,0
50,51,Unit,938.8060320295014,772.8192530649178,2,14,255,0
51,52,Unit,712.6452501726228,652.9489231470375,2,14,255,0
52,53,Unit,832.8321581638837,719.2086356882596,2,14,255,0
53,54,Unit,841.1367415937473,670.6789724173813,2,14,255,0
54,55,Unit,746.1499800700072,982.9602474432784,2,14,255,0
55,56,Unit,902.2011071475143,198.1737250784071,2,14,255,0
56,57,Unit,912.106329476828,752.1303000929902,2,14,255,0
57,58,Unit,1041.2315807066814,963.7059135431188,2,14,255,0
58,60,Unit,913.6989403846877,1062.8821021770334,2,14,255,0
59,61,Unit,390.40215559906756,623.0790970227621,1,15,255,0
60,62,Unit,451.5658756834143,870.3757181940058,2,14,255,0
61,63,Unit,589.6392091824698,586.0861446504297,2,14,255,0
62,64,Unit,656.69094944906,462.4513621142146,2,14,255,0
63,65,Unit,478.1273529884218,488.99970355006593,2,14,255,0
64,66,Unit,752.4409389388705,620.2027007347897,2,14,255,0
65,67,Unit,813.3189659093763,568.2961784581645,2,14,255,0
66,68,Unit,657.9759783054499,644.7518825207853,2,14,255,0
67,69,Unit,554.7896295177137,792.9519638893136,2,14,255,0
68,70,Unit,445.96129903173045,690.8766411562601,2,14,255,0
69,71,Unit,632.4070724373912,518.2469059047289,2,14,255,0
70,72,Unit,1107.8928852508914,870.5211104951392,2,14,255,0
71,73,Unit,783.015342871276,423.7634884565196,2,14,255,0
72,74,Unit,885.8830086472564,877.067234225505,2,14,255,0
73,75,Unit,713.5044652593266,462.02564859075085,2,14,255,0
74,76,Unit,748.2228788696494,581.5430456674833,2,14,255,0
75,77,Unit,481.2171075299522,889.7708631297171,2,14,255,0
76,78,Unit,1142.5199995035473,532.8217970431132,2,14,255,0
77,79,Unit,866.0876948823352,646.5171299153283,2,14,255,0
78,80,Unit,1029.2189801192749,367.28444076639596,2,14,255,0
79,81,Unit,821.9302902181661,784.9136307267395,2,14,255,0
80,82,Unit,815.2555655031774,731.7955469793585,2,14,255,0
81,83,Unit,630.555284961988,633.2640054358176,2,14,255,0
82,84,Unit,817.3398541477662,682.5048557797633,2,14,255,0
83,85,Unit,580.7522523522076,1047.907363909136,1,15,255,0
84,86,Unit,1012.6739368168514,563.6583639434599,2,14,255,0
85,88,Unit,789.8839009491062,597.7841158228451,2,14,255,0
86,89,Unit,995.4921900854706,654.1509833988362,2,14,255,0
87,90,Unit,1130.2682828075813,863.7572245286971,2,14,255,0
88,92,Unit,951.2610906683258,568.1133694260604,2,14,255,0
89,93,Unit,1058.3264854370943,437.0237685849316,2,14,255,0
90,94,Unit,751.8699376278811,457.3330239741458,2,14,255,0
91,95,Unit,487.37634337418467,860.0431212863828,2,14,255,0
92,96,Unit,391.63494108549156,833.0901618676638,2,14,255,0
93,97,Unit,774.7132862434775,128.94595053799605,2,14,255,0
94,100,Unit,900.6518191324825,828.7325402309276,2,14,255,0
95,101,Unit,612.2496812380914,394.96881509533824,2,14,255,0
96,103,Unit,734.642805717383,787.2863709198747,2,14,255,0
97,104,Unit,568.7949789042323,584.4718463340731,2,14,255,0
98,105,Unit,1074.6399717660518,617.651207905377,2,14,255,0
