id,body,type,posx,posy,mass,size,flux,observation
1,1,Unit,1185.2800387218306,403.4494476464033,2,12,255,0
2,2,Unit,1080.7100109375808,585.587467198178,2,12,255,0
3,3,Unit,1074.4076227247406,754.5542704685863,2,12,255,0
4,4,Unit,620.9026351766455,764.1245252681475,2,12,255,0
5,5,Unit,1059.1344030276655,586.3618749288447,2,12,255,0
6,6,Unit,884.0095531387954,676.8568418402891,2,12,255,0
7,7,Unit,1110.4381537957927,213.8603611423528,2,12,255,0
8,8,Unit,1159.838940758367,928.0630521932984,2,12,255,0
9,9,Unit,839.5969422951412,581.3362308823823,2,12,255,0
10,10,Unit,1017.0735208618305,540.2049709590945,2,12,255,0
11,11,Unit,770.3070541869076,298.0913337531185,2,12,255,0
12,12,Unit,791.8942646293357,639.216292478951,2,12,255,0
13,13,Unit,708.706642251155,416.8297042983291,2,12,255,0
14,14,Unit,840.9013043847134,667.2621711128274,2,12,255,0
15,15,Unit,1015.148101232034,772.9928589945384,2,12,255,0
16,16,Unit,796.3151957347197,582.9348516376782,2,12,255,0
17,17,Unit,811.2408465970664,865.460206338133,2,12,255,0
18,18,Unit,449.0284598480318,633.5178121954972,2,12,255,0
19,19,Unit,886.7704670797833,394.9016390895535,2,12,255,0
20,20,Unit,814.3051281761203,529.4764571655213,2,12,255,0
21,21,Unit,815.0828872590863,625.1025570466066,2,12,255,0
22,22,Unit,718.4821003276809,629.2874091677373,2,12,255,0
23,23,Unit,1223.36060218882,388.06347724255124,2,12,255,0
24,24,Unit,915.8014974790674,908.0649996271549,2,12,255,0
25,25,Unit,708.7066327465045,596.8371750142712,2,12,255,0
26,27,Unit,337.2622397566153,600.0245136961327,2,12,255,0
27,28,Unit,673.3315159436185,666.2497485814604,2,12,255,0
28,29,Unit,820.094776672915,252.50579034312668,2,12,255,0
29,30,Unit,434.4380849683448,592.6761995200327,2,12,255,0
30,31,Unit,844.3247909913496,530.6586820903799,2,12,255,0
31,32,Unit,797.9546427147629,238.16677464057165,2,12,255,0
32,33,Unit,788.3486499894906,261.8776402615002,2,12,255,0
33,34,Unit,847.9391856684327,855.0734018628277,2,12,255,0
34,35,Unit,1127.9338880991218,365.8691893514028,2,12,255,0
35,36,Unit,959.5298736027163,343.47080998673175,2,12,255,0
36,37,Unit,788.5200972840488,891.1130165701566,2,12,255,0
37,38,Unit,843.5260104761711,561.7504793037218,2,12,255,0
38,39,Unit,753.8568137736461,919.0456013747586,2,12,255,0
39,40,Unit,790.3001153725224,380.4268008368296,2,12,255,0
40,42,Unit,1088.1479809223574,739.3155465505896,2,12,255,0
41,44,Unit,861.5623441508884,821.9326540722216,2,12,255,0
42,45,Unit,853.508352821575,195.75053511054247,2,12,255,0
