id,body,type,posx,posy,mass,size,flux,observation
1,1,Unit,752.9989535073596,388.35870279618206,2,15,255,0
2,2,Unit,844.4819901062166,461.09318909752756,2,15,255,0
3,3,Unit,779.9364731009316,614.1543322325185,2,15,255,0
4,4,Unit,577.6017918894017,626.4117627037493,2,15,255,0
5,6,Unit,654.054756765678,361.5449198950745,2,15,255,0
6,7,Unit,731.4812146079462,760.2791586719703,2,15,255,0
7,8,Unit,1005.5600480402637,907.4260838545684,2,15,255,0
8,9,Unit,689.3572962488817,640.980274900809,2,15,255,0
9,10,Unit,471.12125904417616,679.6086194929652,2,15,255,0
10,11,Unit,831.2254180398235,119.29994399715052,2,15,255,0
11,12,Unit,796.9343449839636,594.7443319433052,2,15,255,0
12,13,Unit,1047.417111228813,731.3063421141784,2,15,255,0
13,14,Unit,787.0278136710474,153.65873579514556,2,15,255,0
14,15,Unit,637.7566935683914,553.5872135024812,2,15,255,0
15,16,Unit,402.45100705600123,751.4141281768028,2,15,255,0
16,17,Unit,757.2083178094226,616.9119686420306,2,15,255,0
17,18,Unit,579.4342737993195,731.6721915945777,2,15,255,0
18,19,Unit,1060.6799984592267,825.7988970738321,1,15,255,0
19,20,Unit,935.3293925700099,551.9405938315449,2,15,255,0
20,21,Unit,839.4917419901769,829.2781348199044,2,15,255,0
21,22,Unit,928.445708837925,172.9503123619418,2,15,255,0
22,23,Unit,767.3813198205097,822.6481421104622,2,15,255,0
23,24,Unit,901.013382499671,631.1817378295441,2,15,255,0
24,25,Unit,909.0162962124116,367.31785245795305,2,15,255,0
25,26,Unit,718.0914883301614,121.85055229736551,2,15,255,0
26,27,Unit,505.2505643817141,812.1856174429201,2,15,255,0
27,28,Unit,384.7745595392653,817.1289743232524,2,15,255,0
28,30,Unit,867.2843998507526,910.1135353424803,2,15,255,0
29,31,Unit,1159.8445343006447,540.0548890135051,2,15,255,0
30,32,Unit,1175.0949451170475,734.0563203480784,2,15,255,0
31,33,Unit,797.5942953031382,610.9290987276041,2,15,255,0
32,34,Unit,561.7654121910817,742.8739557155155,2,15,255,0
33,35,Unit,464.4825317621306,326.9017235707046,2,15,255,0
34,36,Unit,796.5272432157459,279.721859264264,2,15,255,0
35,37,Unit,518.6374289709148,577.6247394015181,2,15,255,0
36,38,Unit,799.6737865401074,592.0861672579441,2,15,255,0
37,39,Unit,857.5361448655979,484.91310163694016,2,15,255,0
38,40,Unit,827.1978348585346,613.9415094602779,2,15,255,0
39,41,Unit,825.0960612059536,254.25700105753816,2,15,255,0
40,42,Unit,859.3929489564214,202.26926785949226,2,15,255,0
41,43,Unit,1243.344824016268,699.306060840111,2,15,255,0
42,44,Unit,947.622705551267,423.6035080962291,2,15,255,0
43,45,Unit,955.8523897233598,462.8031097228436,2,15,255,0
44,47,Unit,773.1869881164195,708.1434967792554,2,15,255,0
45,48,Unit,757.8550370173284,700.3833666961973,2,15,255,0
46,49,Unit,778.3357529181691,559.9096223871361,2,15,255,0
47,50,Unit,883.1071594094195,108.76913165765424,1,15,255,0
48,51,Unit,394.7425449447193,415.90700545789696,1,15,255,0
49,53,Unit,466.05848113798163,823.8982513298976,2,15,255,0
50,54,Unit,872.232527209462,578.1954614168025,2,15,255,0
51,55,Unit,865.6370684196335,393.5076983802939,2,15,255,0
52,56,Unit,794.1242002724745,944.489697339954,2,15,255,0
53,57,Unit,876.6915835486418,308.7070714120521,2,15,255,0
54,58,Unit,753.7264860526952,464.020104822207,2,15,255,0
55,59,Unit,731.0445084112899,477.29934879104974,2,15,255,0
56,60,Unit,839.9398042771745,108.29649774954913,2,15,255,0
57,61,Unit,850.4853882215342,667.1729479542762,2,15,255,0
58,62,Unit,774.0602478562668,452.2486634886741,2,15,255,0
59,63,Unit,405.1429876448917,808.7900866148179,2,15,255,0
60,64,Unit,1258.0346290565192,728.6802376360521,2,15,255,0
61,65,Unit,759.9880698855661,743.4685510283823,2,15,255,0
62,66,Unit,903.8590055254849,544.1855604246996,2,15,255,0
63,67,Unit,753.0966376308427,425.0572661848081,2,15,255,0
64,68,Unit,865.7777238151734,622.929750443573,2,15,255,0
65,70,Unit,828.9430152336595,597.6791422991183,2,15,255,0
66,71,Unit,439.82221663086483,835.8666184203322,2,15,255,0
67,72,Unit,807.7936347127398,649.0222565351767,2,15,255,0
68,73,Unit,618.4438610668622,367.82991956800265,2,15,255,0
69,74,Unit,722.1940585581605,262.4429800103788,2,15,255,0
70,75,Unit,1083.74727831777,671.1013279303604,2,15,255,0
71,76,Unit,895.6817372881466,477.25832687811766,2,15,255,0
72,77,Unit,789.4229267604812,685.9486065916703,2,15,255,0
73,78,Unit,873.9428785069107,501.3530653864672,2,15,255,0
74,79,Unit,583.202543754766,294.63011867653756,2,15,255,0
75,80,Unit,1107.925351032792,991.3015540088315,2,15,255,0
76,81,Unit,739.4547394912319,720.9911179201287,2,15,255,0
77,82,Unit,897.8861127115032,563.8958805184034,2,15,255,0
78,83,Unit,944.1211828443894,493.29241723352334,2,15,255,0
79,84,Unit,758.1192513426852,594.1393129985995,2,15,255,0
80,85,Unit,1183.26092214424,361.8551045530181,1,15,255,0
81,86,Unit,1018.5730336538576,844.1457304963021,2,15,255,0
82,87,Unit,820.8127696422459,217.82054334244359,2,15,255,0
83,89,Unit,815.8950804414056,719.1555667536787,2,15,255,0
84,92,Unit,809.400326200143,115.61950201756162,2,15,255,0
85,93,Unit,840.246159112339,427.4640597418479,2,15,255,0
86,94,Unit,1175.9287248022788,633.3817377933968,2,15,255,0
87,96,Unit,609.0315623709585,735.6370331691832,2,15,255,0
88,97,Unit,1085.7871483620972,317.4466268742986,2,15,255,0
89,99,Unit,839.1439987041597,223.99258119726926,2,15,255,0
90,100,Unit,1051.7696130012894,997.8010639994507,2,15,255,0
91,101,Unit,529.5279753430602,632.8364391049586,2,15,255,0
92,102,Unit,1019.2589639976285,1037.867013062879,2,15,255,0
93,104,Unit,1217.5788381281106,542.489330256157,2,15,255,0
94,105,Unit,690.5358005702548,316.2755466929021,2,15,255,0
95,106,Unit,831.57448761735,873.5088362954002,2,15,255,0
96,107,Unit,781.5118240130677,619.5329097987985,2,15,255,0
97,108,Unit,845.414755127537,563.5376768760995,2,15,255,0
98,109,Unit,420.7470855095306,823.6746555098553,2,15,255,0
99,110,Unit,454.97589892737545,867.253911497558,2,15,255,0
100,111,Unit,549.1612883787909,662.107881435852,2,15,255,0
101,112,Unit,940.5813219020116,529.0195820838985,2,15,255,0
102,113,Unit,467.88686265770247,561.2575034118452,2,15,255,0
103,114,Unit,1151.0079409835828,631.7347485647161,2,15,255,0
104,115,Unit,852.2951898943778,601.4531174197075,2,15,255,0
105,116,Unit,634.860703039236,573.374389301203,2,15,255,0
106,117,Unit,769.9574767796629,412.32931990451647,2,15,255,0
107,118,Unit,524.7902843006464,517.8202401228506,2,15,255,0
108,120,Unit,777.9059476871408,470.2876591215738,2,15,255,0
109,121,Unit,943.9383758210687,819.5497322251766,2,15,255,0
110,123,Unit,674.9501601654067,603.6290226952789,2,15,255,0
111,124,Unit,522.774657447933,853.3134873140788,2,15,255,0
112,125,Unit,797.3656623497218,617.8213465975216,2,15,255,0
113,126,Unit,886.259769992548,342.91218432007986,2,15,255,0
114,127,Unit,1163.8796931371226,596.9850831948493,2,15,255,0
115,128,Unit,617.3535352265831,808.7231675074162,2,15,255,0
116,129,Unit,1014.1316410261334,766.4044453708174,2,15,255,0
117,130,Unit,971.6652463901067,672.9385294947912,2,15,255,0
118,132,Unit,634.062889653634,867.7235910838284,2,15,255,0
119,133,Unit,1202.0033011154317,444.97182692365305,2,15,255,0
120,134,Unit,775.3965671712563,582.1005392077117,2,15,255,0
121,135,Unit,805.3683497572068,666.8283482038642,2,15,255,0
122,136,Unit,1199.568736848113,852.025807067329,2,15,255,0
123,137,Unit,536.8007002632294,919.6543201591819,2,15,255,0
124,138,Unit,595.48347503971,436.9996925132311,2,15,255,0
125,139,Unit,412.5565473885266,317.02880736183045,2,15,255,0
126,140,Unit,633.2040936273921,435.05922511719274,2,15,255,0
127,141,Unit,898.729418089829,423.62551136290625,2,15,255,0
128,144,Unit,1243.3900712582017,683.0889951553635,2,15,255,0
129,145,Unit,932.1959172094122,768.4173403148792,2,15,255,0
130,146,Unit,1272.7198188597238,637.570729345369,2,15,255,0
131,147,Unit,927.7800784731869,154.32676478221248,2,15,255,0
132,148,Unit,791.2148209368768,437.50393822647897,2,15,255,0
133,149,Unit,751.5763614049234,736.3405767475824,2,15,255,0
134,150,Unit,636.7186462104052,984.230150723448,2,15,255,0
135,151,Unit,502.009338506771,284.1247004789819,2,15,255,0
136,152,Unit,537.9937328689948,694.083986657091,2,15,255,0
